,BFC02,BFC04,BMC01,BMC02,BMC03,BMC04,BMC05,BMC08,BMC09,BMC10,WFC01,WFC03,WMC01,WMC02,WMC03,WMC04,WMC05,WMC07,WMC08,WMC09,BFA03,BFA02,BMA02,BMA04,WFA01,WFA02,WMA01,WMA02
BAG,4,"""x""",4,2,3,2,4,1,3,3,1,1,2,2,3,3,3,3,3,4,1,"""x""",4,3,"""x""",2,"""x""","""x"""
BALL,4,"""x""",3,2,2,2,4,1,2,3,1,1,2,2,3,3,3,3,3,4,1,"""x""",4,3,"""x""",2,"""x""","""x"""
BANK,4,"""x""",4,2,4,2,4,1,2,3,1,1,2,2,3,3,3,3,3,4,1,"""x""",2,4,"""x""",2,"""x""","""x"""
BAR,4,"""x""",4,2,3,1,4,1,2,3,1,1,2,2,3,3,3,3,2,4,1,"""x""",4,1,"""x""",2,"""x""","""x"""
BARK,4,"""x""",4,3,1,1,4,1,3,3,2,1,2,3,3,3,3,3,3,4,1,"""x""",4,2,"""x""",2,"""x""","""x"""
BLUES,4,"""x""",3,2,2,2,4,1,2,3,1,1,2,3,3,3,3,3,3,4,1,"""x""",4,1,"""x""",2,"""x""","""x"""
BOLT,4,"""x""",4,2,3,1,4,1,2,3,1,1,1,2,3,3,3,3,3,2,1,"""x""",4,2,"""x""",2,"""x""","""x"""
BRAWL,4,"""x""",1,2,3,2,4,1,2,3,1,1,2,2,3,3,3,3,3,4,1,"""x""",4,1,"""x""",,"""x""","""x"""
BRIDE,4,"""x""",4,2,1,2,4,1,3,3,1,1,2,3,3,3,2,3,3,4,1,"""x""",4,5,"""x""",2,"""x""","""x"""
BUD,4,"""x""",4,2,1,1,4,1,3,3,1,1,2,2,3,3,3,3,3,4,1,"""x""",4,1,"""x""",2,"""x""","""x"""
BULB,4,"""x""",3,2,1,2,4,1,2,3,1,1,2,2,3,3,3,3,3,4,1,"""x""",4,2,"""x""",2,"""x""","""x"""
CANE,4,"""x""",4,2,2,2,4,1,3,3,1,1,2,2,2,3,3,4,3,4,1,"""x""",4,3,"""x""",2,"""x""","""x"""
CAP,4,"""x""",4,2,3,2,4,1,2,3,2,1,2,2,3,3,3,3,3,3,1,"""x""",4,5,"""x""",2,"""x""","""x"""
CASH,4,"""x""",4,2,4,2,4,1,3,3,1,1,2,2,3,3,2,3,3,4,1,"""x""",4,1,"""x""",2,"""x""","""x"""
CELL,4,"""x""",1,2,3,2,4,1,2,3,1,1,2,2,3,3,3,3,3,4,1,"""x""",4,1,"""x""",2,"""x""","""x"""
CENT,4,"""x""",4,2,1,2,4,1,3,3,1,1,2,3,3,3,2,3,3,3,1,"""x""",4,7,"""x""",2,"""x""","""x"""
CHEST,4,"""x""",3,2,4,2,4,1,3,3,2,1,2,2,3,3,3,3,3,4,1,"""x""",4,2,"""x""",2,"""x""","""x"""
CHICK,4,"""x""",4,2,1,2,4,1,3,3,1,1,2,2,3,3,3,3,3,4,1,"""x""",2,7,"""x""",2,"""x""","""x"""
CHIEF,4,"""x""",4,2,4,2,4,1,3,3,2,1,2,3,3,3,3,3,3,4,1,"""x""",4,7,"""x""",2,"""x""","""x"""
COLT,4,"""x""",4,2,1,2,4,1,4,3,1,1,2,3,3,3,3,3,3,2,1,"""x""",4,1,"""x""",2,"""x""","""x"""
CONE,4,"""x""",4,2,4,2,4,1,2,3,1,1,2,2,3,3,3,3,3,4,1,"""x""",4,3,"""x""",2,"""x""","""x"""
CREST,4,"""x""",4,2,3,2,4,1,3,3,1,1,2,2,3,3,3,1,3,4,1,"""x""",4,1,"""x""",2,"""x""","""x"""
CRIB,4,"""x""",4,2,1,1,4,1,2,3,1,1,2,2,3,3,3,3,2,4,1,"""x""",4,7,"""x""",2,"""x""","""x"""
